Order,ID,Archive_ID,Title,URL,Snippet,Phrase,HasPhrase,SpeakerVisible,HandsVisible,HandsVisibleGenerous,HandsFree,HandsFreeGenerous,Aspect,Agent,Animacy,Negated,Contrasted,SpeakerName,Duplicate,NonNative,HandsMoving,NounPlural,ContextMove,WhichHand,HandConfig,PalmOrientation,MovementVertical,MovementHorizontal,MovementSagittal,Duration,StrokeDuration,OfInterest,Comments
471,1607,KPIX_20110926_190000_CBS_5_Eyewitness_News_at_Noon,"CBS 5 Eyewitness News at Noon : KPIX : September 26, 2011 12:00pm-12:30pm PDT",https://archive.org/download/KPIX_20110926_190000_CBS_5_Eyewitness_News_at_Noon/KPIX_20110926_190000_CBS_5_Eyewitness_News_at_Noon.mp4?t=738/798?ignore=x.mp4,", no artificial anything. all within budget. a wide choice of natural foods that meet your high standards. ♪ open nature. only at safeway. from their worst week since october 2008. lets go ahead >>> let's go live to moffett field where are president obama has just arrived just outside of air force one. he just minutes ago left linkedin for a town hall meeting where he answered questions, a lot about the jobs creation plan. today, he is heading to san diego, and then to los angeles, for more fundraiserrers. he has already been to seattle and in this west coast campaign, he is expected to raise some $4 million. in the meantime, stocks are bouncing back. from their worst week since october of 2008. here is a live look. way up this morning. up 211 points. investors really seem hopeful. and that may be because they are expecting european finance ministers to take action to shore up the more unstable economies. >>> in the meantime, the government just days away from a possible shutdown unless congress strikes a deal. the senate will vote on a new measure today, and they rejected the",high_standards,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
472,1502,WBAL_20091014_030000_11_News_at_11,"11 News at 11 : WBAL : October 13, 2009 11:00pm-11:35pm EDT",https://archive.org/download/WBAL_20091014_030000_11_News_at_11/WBAL_20091014_030000_11_News_at_11.mp4?t=637/697?ignore=x.mp4," held to a high standard here and i think divisive comments are if the what the nfl is about. >> envelope commissioner goodal reacts to rush limbaugh's interest in owns the rams. and why the controversy could be premature. >> could a beloved spectacle become a thing of the past. we'll explore that. >> colder air filtering into the area and we're going to add that with rain coming up at the end of the week. more on that as i break it down for you. coming up, it is 53 at the airport and 55 at the harbor, winds out of the northwest at 6 miles an hour. >> in our ""consumer alert"" tonight, nearly 5 million ford vehicles are being recalled. they have defective cruise controls that could cause fire hazards. it is several from 1992 to 2003 and the wind star mini advantage and ford ranger. ford recalled millions of other vehicles due to the faulty switch which was made by texas instruments. for comprehensive lists of the cars and trucks, you could go to our website, wbaltv.com and click on ""consumer alert."" >> state lawmakers peppered juvenile service officials with questioning followi",high_standards,yes,yes,neither,both,both,both,NA,NA,NA,no,no,NA,no,NA,yes,no,NA,both,open,inward,up,outward,NA,NA,NA,NA,NA
473,1937,FOXNEWSW_20141029_180000_The_Real_Story_With_Gretchen_Carlson,"The Real Story With Gretchen Carlson : FOXNEWSW : October 29, 2014 11:00am-12:01pm PDT",https://archive.org/download/FOXNEWSW_20141029_180000_The_Real_Story_With_Gretchen_Carlson/FOXNEWSW_20141029_180000_The_Real_Story_With_Gretchen_Carlson.mp4?t=1171/1231?ignore=x.mp4," have a very high standard for releasing out alerts. we want specific intelligence about an active plot. otherwise, there will be fatigue from the public. if you are consistently sending out aletters saying, well, this group had an outage and this one also did that. they have a high standard for doing that. also, when you do issue an alert, there's increase costs. you have an increased amount of security that you have to pay for. there's economic -- >> i can't imagine how many people work in this particular unit, you know, looking after this system. what are they doing all day? >> well, the people within the department of homeland security are good. they are keeping track of the threat. the issue is what is the standard in which you release a threat -- an alert? if the standard is just, okay, well, we're waiting for specific intelligence of a plot, is that good enough? what if we enter a more dangerous period, such as isis taking over. is that enough for a general alert that will last into the foreseeable future, or are we just waiting until we get the smoking gun that there is a r",high_standards,yes,yes,neither,one,one,one,NA,NA,NA,no,no,ryan mauro,no,no,yes,NA,NA,R,halfway,inward,up,NA,NA,NA,NA,NA,NA
474,4167,WMPT_20091203_230000_The_NewsHour_With_Jim_Lehrer,"The NewsHour With Jim Lehrer : WMPT : December 3, 2009 6:00pm-7:00pm EST",https://archive.org/download/WMPT_20091203_230000_The_NewsHour_With_Jim_Lehrer/WMPT_20091203_230000_The_NewsHour_With_Jim_Lehrer.mp4?t=3007/3067?ignore=x.mp4," common high standards and great data systems behind that, if we do these things well, we can make a huge difference in our students' lives. >> reporter: but like tougher standards and more tests, most of these ideas have been tried before. >> i would like to see the secretary point to a district where they have done... some district that has done what he recommends and where you can say ""now there's the district that's turned around."" >> reporter: katie haycock sees things differently. >> what i think most state people will tell you is these are things we knew we needed to do, things we wanted to do but the politics of doing them are so hard it was going to take us a decade and now it's going to take six months. >> reporter: the race to the top is already having an impact. rules of the competition have led ten states to revise their education laws and more changes are on the way. states must turn in their applications by mid-january. winners will be announced in the spring. >> lehrer: you can listen to more from the interviews with diane ravitch and kati haycock online. follow a lin",high_standards,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
475,1681,SFGTV_20110409_090000,"SFGTV : April 9, 2011 2:00am-2:30am PDT",https://archive.org/download/SFGTV_20110409_090000/SFGTV_20110409_090000.mp4?t=1526/1586?ignore=x.mp4," to ensure transparency, fairness in dealing, and to ensure a high standard of ethics. i hope he will consider supporting her. she is also very open to speaking with all of us, hopefully as our board appointee, about things we may want to see happen with the ethics commission and very much wants to be our representative on the body, regardless of how to choose to vote today. i hope he will consider supporting ms. liu. >> supervisor wiener. supervisor wiener: i will be voting against the motion. from everything i have seen and heard, she would be an extraordinary number of the commission, and i want to address some of the writings i have seen on the internet, which i think have been incredibly unfair. as i know policies are frequently tinge with baseless mirror -- melodrama, we see that again here. she is accomplished. she is respected and supported by a lot of people i have incredible respect for, and i think she would be a strong addition. and also, just because someone works east of cal street and west of the bay, it doesn't mean that person is somehow going to condone corruption or",high_standards,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
476,204,KQED_20140213_080000_Charlie_Rose,"Charlie Rose : KQED : February 13, 2014 12:00am-1:01am PST",https://archive.org/download/KQED_20140213_080000_Charlie_Rose/KQED_20140213_080000_Charlie_Rose.mp4?t=1890/1950?ignore=x.mp4," world so there is not a. >> a high standard. >> rose: a high standard around the world so it is not capital shopping. >> well, you don't want cap -- you know arbitrage where you see low, lowly -- lightly regulated markets, putting the rest of the world at risk. i think we have made great progress. we have way more progress to make in the international space. we have seen progress on issues like capital and leverage rules where, you know, the world met just a few weeks ago and adopted a standard very similar to the one our regulators wrote. we are now seeing our regulators revise their standard to conform with an international standard that meets our standard. that's a good thing. we want to have harmonized rules at a high level. we are seeing it in -- >> rose: and -- >> when i go to the -- >> rose: sydney. >> a it is my on my agenda in this year in the g 20 is to bring these issues to the table and to drive the discussion in places like, you know, the g-20s, the fsb, and the oecd where countries come together to reach agreement on high standards. >> rose: are you more optimistic on ",high_standards,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
477,2686,BBCNEWS_20170823_073000_BBC_Business_Live,"BBC Business Live : BBCNEWS : August 23, 2017 8:30am-9:01am BST",https://archive.org/download/BBCNEWS_20170823_073000_BBC_Business_Live/BBCNEWS_20170823_073000_BBC_Business_Live.mp4?t=201/261?ignore=x.mp4,", about 25% of worldwide media that goes direct to agencies, or goes through agencies. they have very high standards, in terms of viewability, measurability to try and counter that. and then there is the consumer brand safety issue, which you are sort of referring to, which is that some material might end up in less than satisfactory, to put it mildly, areas 01’ satisfactory, to put it mildly, areas or parts of the internet. and thatis areas or parts of the internet. and that is an area it has become even more important, fake news and fraud also becoming important. and that is also becoming important. and that is a question. you can't be 100% certain that you can cover this, that you can be much more stringent, in terms of the rules. facebook, for example, and google have made strenuous efforts recently, under some pressure to do so, but they have made strenuous efforts recently, and they dominate digital advertising. with us is stephen woodford, chief executive at the advertising association. there is a lot for us to get through in these results but first of all it is worth living at wh",high_standards,yes,yes,neither,both,both,both,NA,NA,NA,no,no,martin sorrell,no,no,no,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,3095,WJZ_20120426_220000_Eyewitness_News_at_6,"Eyewitness News at 6 : WJZ : April 26, 2012 6:00pm-7:00pm EDT",https://archive.org/download/WJZ_20120426_220000_Eyewitness_News_at_6/WJZ_20120426_220000_Eyewitness_News_at_6.mp4?t=1831/1891?ignore=x.mp4," president expects high standards from all government employees, traveling overseas. >> reporter: homeland security secretary janet napolitano said that cart henna was an isolated incident. >> over the past 2 1/2 years, the secret service office, a professional responsibility, has not received any such complaint. >> reporter: at least one lawmaker says the new report raises additional questions. >> it does concern me. and that's why we need a thorough investigation. >> reporter: senator cornin says if the agency doesn't get to the bottom of what happened, congress will. at the white house, tara mergener, wjz eyewitness news. >>> now, the pentagon continues to investigate 12 members. all had to have their clearances suspended, pending the outcome. >>> tonight, police are still looking for a killer. wjz is follow the story from the newsroom. >> reporter: gee barnett has more. -- gigi barnett has more. >> reporter: gary dedricks never got to enjoy his two-week vacation to see washington's historic site. detectives say he was beaten to death and left in an alley in northwest d.c. police suspec",high_standards,yes,yes,neither,neither,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
479,985,CSPAN3_20120315_200000,"CSPAN3 : March 15, 2012 4:00pm-4:30pm EDT",https://archive.org/download/CSPAN3_20120315_200000/CSPAN3_20120315_200000.mp4?t=299/359?ignore=x.mp4," carolina. and it's not simply to lower tax. implement a high standard of ipr protection are critical for u.s. companies. without pntr the u.s. would have no recourse should disputes arise. if the u.s. does not grand pntr to russia, american companies and their workers will be at a significant disadvantage relative to our global competit competitors. at a time when export growth is key to the u.s. committee, we would be injecting an important opportunity while competitors -- russia will join the wto whether or not the nptr is -- about the eight of american companies to compete on a level playing field according to the same set of rules with foreign companies, all eager to do business in a fast growing economy. i urge this committee and the full congress to allow the american economy and american workers to be able to reap the benefits of these opportunities. thank you. >> thank you very much. mr. taylor? >> good morning, chairman backus. >> good morning. >> senator kyle, distinguished members of the committee, thank you for the opportunity to speak to you on behalf of the montana stoc",high_standards,yes,yes,neither,neither,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
480,6472,KPIX_20130414_153000_Face_the_Nation,"Face the Nation : KPIX : April 14, 2013 8:30am-9:01am PDT",https://archive.org/download/KPIX_20130414_153000_Face_the_Nation/KPIX_20130414_153000_Face_the_Nation.mp4?t=460/520?ignore=x.mp4," high standard. my issue is i hope we can can broaden it and deal with pentald health and prosecutions of those who are criminals will but have been trying to buy guns. >> schieffer: did the meeting with these families, did that have any impact on your thinking? >> it sure did. >> schieffer: what do you say to them? >> first of all, i was very impressed by these families, very touched by them and i have never had a meeting like that in all my years of public service. it's an indescribable experience. i congratulate them because they are taking a horrifying tragedy and trying to turn it into a positive for the broad aspesktz america. i don't think they disagree with anything i say that the debate needs to be about violence. and what i expressed to them, and i think they would agree with that, this issue cannot just be about guns. it has been hobby whole singly about violence as is impacts the whole country and i hope we take the opportunity the next few weeks as we debe this bill to look for ways to raise that issue and i think they would be very supportive of that. >> schi",high_standards,yes,yes,neither,neither,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
481,6811,CSPAN_20160425_040000_British_Prime_Ministers_Questions,"British Prime Minister's Questions : CSPAN : April 25, 2016 12:00am-12:38am EDT",https://archive.org/download/CSPAN_20160425_040000_British_Prime_Ministers_Questions/CSPAN_20160425_040000_British_Prime_Ministers_Questions.mp4?t=993/1053?ignore=x.mp4," meet the high standards that are set out. >> it is a truth acknowledgment that fish and chips case best on the pages and that's why 4 million people visit those beaches every year. does the prime minister agree with me that we should work with the environment agency, the local enterprise partnership, local counsel, build on the work of this government that has brought jobs and growth, extend the tour's season and build a billion coastal economy wide the end of this decade speak with my honorable friend is right. that is what i announced a five-point plan for tourism last year to encourage people to visit uk resorts both from overseas and british people as well. that's exactly what's happening. isn't it interesting in the weekly were supporting fish and chips on the side of the house, they are banning mcdonald's? >> turn one. mr. speaker, or than 2000 people have signed a petition -- in my constituency calling on the government not to cut the funding of community pharmacist. given the major reports last week regarding actions do not face investigation by the regulators, isn't it tim",high_standards,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
482,1444,KCSM_20120303_030000_Newsline,"Newsline : KCSM : March 2, 2012 7:00pm-7:30pm PST",https://archive.org/download/KCSM_20120303_030000_Newsline/KCSM_20120303_030000_Newsline.mp4?t=261/321?ignore=x.mp4," willingness to participate in a negotiation of a high standards agreement. >> her remarks suggest that the u.s. hopes japan will take concrete steps to put all items on the negotiating table before joining former negotiations on the tpp, japan needs approval from all nine countries already in the takes. japan held a preliminary consultations with the u.s. twice last month. formal negotiations among the nine countries are now being held in melbourne, australia. next we go to bangkok to find out what's going on in the region. >> we start our bulletin in indonesia where a major deal has been agreed to harness more of the nation's untapped geothermal energy. indonesia is one of the most volcanically active countries in the world. it also desperately needs more electricity to power its booming economy. the indonesian government inked a deal on friday with a corporation. the japanese trading house will form a joint venture with two other companies to construct and operate two geothermal power plants. the 1.5 billion dollar project on the island of sumatra should be completed in four yea",high_standards,yes,yes,neither,neither,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
483,1488,SFGTV2_20130703_040000,"SFGTV2 : July 2, 2013 9:00pm-9:31pm PDT",https://archive.org/download/SFGTV2_20130703_040000/SFGTV2_20130703_040000.mp4?t=276/336?ignore=x.mp4," bowl with very high standards and some extreme difficulties and i have been just tremendously impressed by the way that the staff led by jack and mable but all of the people that i have dealt with on the staff have soldiered on to do right and to carry out their sworn responsibilities as representatives of the city and county of san francisco against some very, formittable criticism, and to up hold the expectations about open and responsible government. and i know that it has been hard. although, it will appear on the record that i am departing before the end of my term. i have heard that 6 months and three months. and who is counting. and holding on by one fingernail to do that some days. but it is an honor, san francisco asks a lot of our public officials. and we ask a lot of ourselves as a city and these are incredible standards that we arto carry out, to be ethical and open and at thsame time, careful and accurate and respect privacy, tonight's conversation could not capture it, better. and as we are trying to balance all of those things, knowing what the voters have put i",high_standards,yes,yes,neither,neither,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484,2293,KTVU_20121002_120000_KTVU_Morning_News_Early_Edition,"KTVU Morning News Early Edition : KTVU : October 2, 2012 5:00am-6:00am PDT",https://archive.org/download/KTVU_20121002_120000_KTVU_Morning_News_Early_Edition/KTVU_20121002_120000_KTVU_Morning_News_Early_Edition.mp4?t=1528/1588?ignore=x.mp4," privilege to be able to host the oscars. he added he will live up to the high standards set by previous hosts and oscars will be handed out on february 24th. >>> an oakland man has a half million dollars to do anything he wants with curtsey of a fellowship grant. he was announced one of 23 winners with the so called genius awards. he is the so called founder and they are helping low income owners and he said he is deeply honored and has not decided how he will spend it in america. >>> sal, there is nothing serious on our roads now? >> yes, this is the time where things can change rather quickly and i know this from working with this shift for a long time. it is looking good as we read the traffic here i am always looking at the list from chp to make sure nothing pops up. the traffic still looks good on 280 and on the sunole grade it looks good going south all the way to the bottom of the hill and no major problems, let's go to steve. >>> temperatures clear, cool to mild to warm and it will not take long to warm up. maybe even a sea president to near 90s inland. >>> this is an investigat",high_standards,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
485,7886,ALJAZAM_20150428_180000_News,"News : ALJAZAM : April 28, 2015 2:00pm-3:01pm EDT",https://archive.org/download/ALJAZAM_20150428_180000_News/ALJAZAM_20150428_180000_News.mp4?t=2332/2392?ignore=x.mp4," t.p.p. will have strong protection for workers and the environment and help us set high standards for trade in the twenty-first century. the t.p.p. trade deal big focus, any news on that after? >> from the president there's one progress, they don't have an agreement yet. and white house aids believe really the lynch pin to this is between the japanese and the u.s. they believe if they can hammer out a deal, then the other 12 will sign on quickly. well, they are really not giving us any details. the prime minister said it was significant but no details. we believe the fining sticking points are on rice exports and also cars as the president mentioned but the white house is down playing any expectations that there's going to be a big break through, or any sort of announcement, i can here you in washington they are going all out to impress the prime minister with that first joint session, and also with the state dinner. those don't happen a lot. >> also made a deal on defense, and asked for china should be seen as a threat. >> they did -- they called this a significant change, basically,",high_standards,yes,yes,neither,neither,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
486,7071,CNNW_20170422_230000_CNN_Newsroom_With_Ana_Cabrera,"CNN Newsroom With Ana Cabrera : CNNW : April 22, 2017 4:00pm-5:01pm PDT",https://archive.org/download/CNNW_20170422_230000_CNN_Newsroom_With_Ana_Cabrera/CNNW_20170422_230000_CNN_Newsroom_With_Ana_Cabrera.mp4?t=3175/3235?ignore=x.mp4," think one of the things you have to understand airlines have a very high standard of care to passengers for their safety and well-being a. higher standard than customers normally have because passengers are in their command, stuck in an airplane in a confined environment. i think there could be a lawsuit. luckily no one seems to be physically injured. i think the conduct of the flight attendant, at least the part that's seen on the video, is not what you would expect. >> no. >> i think the company is right to come out and suspend him and i would like to say in defense of the company you do see other flight attendants on the flight caring for the poor woman who was traumatized, also getting in between the angry passenger and calming him down so the captain was out there. so some of the conduct shown on that video is, i think, a credit for american. obviously the conduct of the flight attendant is unacceptable. >> so many things are being recorded these days, everybody has a camera on their phone. does that put airlines at a disadvantage of when these things come up and they ar",high_standards,yes,yes,neither,neither,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
487,573,ALJAZAM_20160311_230000_Talk_to_Al_Jazeera,"Talk to Al Jazeera : ALJAZAM : March 11, 2016 6:00pm-6:31pm EST",https://archive.org/download/ALJAZAM_20160311_230000_Talk_to_Al_Jazeera/ALJAZAM_20160311_230000_Talk_to_Al_Jazeera.mp4?t=1364/1424?ignore=x.mp4," black man. it's very important for me to hold a high standard, to take not just being a chef. but being an employer serious, and i - being part of - reshaping the narrative of what a black man can be in the 21st century is important to me. there's a generation of african-americans that when i think about the civil rights movement. and the fact that i can own a restaurant in harlem, when i think about how low hurdles, and fr giving americans have, to me, coming as an immigrant, as a black man, and able to have a restaurant like red rooster. that's the best of america. on all sides. that's the audience coming to support it. that's the works ethic. it's the hope. be. >> when i think about the incarceration rate of black men, that's the worst of america >>> >>> this is ""talk to al jazeera"", stay with us. >> that harmony, that politeness and that equilibrium that japanese people call ""wa"". at the other side of history, fukushima's heroes were not enough. people have lost their trust, especially in the authorities. the myth of nuclear energy, of it being economic, safe and clean has bee",high_standards,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
488,2659,CSPAN_20090629_070000,"[curator: unknown title] : CSPAN : June 29, 2009 3:00am-3:30am EDT",https://archive.org/download/CSPAN_20090629_070000/CSPAN_20090629_070000.mp4?t=1497/1557?ignore=x.mp4," very high standards of engineering, our dedicated passenger railroads require the most modern equipment, are electrified. they are end point focus services. another is the high-speed service that's developed incrementally on ap existing railroad. to do this track and upgrades -- are upgrading to an existing line. depending on the route this could entail some smoothing out of curve and perhaps grades as well as some improvements to grade crossings and signaling systems. this began on the northeast corridor after 1976 when amtrak gained control of it. and over the years we've gradually raised speeds from -- to 125 and then places to 135 and 150 miles an hour. there is, however, a natural sweet spot at 110 miles an hour that offers some significant advantages. you don't need to close or separate grade crossings. you can operate diesel powered services with existing equipment. most importantly, you don't necessarily need a dedicated track or right of way. although in some circumstances they might be desirable. those are fore midble cost advantages and 110-mile-an-hour service allo",high_standards,yes,yes,neither,one,neither,neither,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
489,6275,SFGTV_20100823_090000,"SFGTV : August 23, 2010 1:00am-1:30am PST",https://archive.org/download/SFGTV_20100823_090000/SFGTV_20100823_090000.mp4?t=308/368?ignore=x.mp4," rfp for the cafe with high standards focused on healthy food. there were many applicants in the cafe, and the ortega family one, but not merely did they get the concession, but since then, they have exceeded the expectations of the park. the quality of food, the commitment to local, sustainable, and healthy, and moreover delicious, is not just a commitment, but it is a proven fact. you can taste the difference. it is a beacon for the food that should be served in all of our parks, where the city, state, or federal, and it is time that san francisco parks had a beacon in its own property where these values are not just talk about but actually executed. so please, go on with the great work. accept more commons, but i urge you to taste the difference and recognize the importance of giving our children healthy and affordable food -- accept more comments. >> if i have called your name, please come forward. i'm going to call a few more names. [reading names] >> hello. together with my wife kathleen, we submitted a proposal for the food concessions at the stow lake but house with bruce mcle",high_standards,yes,yes,neither,both,neither,neither,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
490,1822,CSPAN_20160426_005400_John_Kasich_Town_Hall_Meeting_in_Rockville_Maryland,"John Kasich Town Hall Meeting in Rockville, Maryland : CSPAN : April 25, 2016 8:54pm-10:06pm EDT",https://archive.org/download/CSPAN_20160426_005400_John_Kasich_Town_Hall_Meeting_in_Rockville_Maryland/CSPAN_20160426_005400_John_Kasich_Town_Hall_Meeting_in_Rockville_Maryland.mp4?t=2116/2176?ignore=x.mp4," know why we don't have high standards in our school sometimes? we all want to live in lake woebegone. every kid is an a. every boy is handsome, every girl is pretty, and they are all going to be rocket scientists. i believe you need to have a system that is flexible that can really feed the interests of our young people. one of my daughters wants to be a neonatologist. i said what is that? we took her to the hospital to meet some doctors to learn how to deal with little babies. my other daughter is interested in fashion. she took a volunteer job called dress for success, where she helps people get on their feet. these two girls are 16 years old. we are trying to feed them with real life experiences so they can feel excited about what they are doing in school and begin to learn that what they learned in school is useful for what they want to be. you have to have the high standards. that's common core. secondly, immigration. we have to protect our border. not just because of immigration, but also because of national security. but i will also tell you that finish the border, p",high_standards,yes,yes,one,both,one,one,NA,NA,NA,no,no,john kasich,no,no,yes,NA,NA,R,closed,NA,down,NA,NA,NA,NA,yes,NA
491,2142,CSPAN_20160229_050000_Question_Time,"Question Time : CSPAN : February 29, 2016 12:00am-12:40am EST",https://archive.org/download/CSPAN_20160229_050000_Question_Time/CSPAN_20160229_050000_Question_Time.mp4?t=943/1003?ignore=x.mp4," also requires high standards and the publication of the tables of people can see how children are doing and crucially requires structure of her friends from the pre-schools, academies introducing diversity, competition and getting organizations passionate about education to provide state education. we want all the best organizations providing the best education for children. >> mr. speaker, may begin by associating the party with the comment to the prime minister and leader of the labour party in relations to the tragedy and our thoughts about those affected. for the prime minister congratulate the government and his own colleagues who do not financial arrangements for the next phase of scottish devolution. the treasury position with 7 billion pounds of public finance got been at the beginning of this week reduced to 3 billion pounds yesterday morning to point out what she tells them agree to it or not i'm no worse off? >> let me agree with the right honorable gentleman. this is an excellent deal for scotland, but also an excellent deal for the united kingdom. for those of us who ",high_standards,yes,yes,neither,one,one,one,NA,NA,NA,no,no,david cameron,no,no,yes,NA,NA,R,open,inward,down,NA,NA,NA,NA,NA,NA
492,856,SFGTV2_20120723_060000,"SFGTV2 : July 22, 2012 11:00pm-11:30pm PDT",https://archive.org/download/SFGTV2_20120723_060000/SFGTV2_20120723_060000.mp4?t=1749/1809?ignore=x.mp4," we have these high standards of official misconduct and the sheriff has fallen below that. everyone could agree that testifying truthfully under oath is -- that is what we expect a public officials and if you do not do that, those falls behind those standards. if the mail -- if the mayor felt, we ought to able to show that. >> ms. kaiser. >> i think this is an invitation to a side show. i think you have noticed",high_standards,yes,yes,both,both,both,both,NA,NA,NA,no,no,NA,no,NA,yes,yes,NA,both,halfway,inward,down,NA,front,NA,NA,NA,NA
493,4329,BLOOMBERG_20150513_160000_Bloomberg_Markets,"Bloomberg Markets : BLOOMBERG : May 13, 2015 12:00pm-1:01pm EDT",https://archive.org/download/BLOOMBERG_20150513_160000_Bloomberg_Markets/BLOOMBERG_20150513_160000_Bloomberg_Markets.mp4?t=594/654?ignore=x.mp4," destinations they operate directly out of here. have a very high standard of in-flight service to our passengers. chapter 11 is a huge subsidy that is indirectly given to them. they got them twice in a. ofeight months -- period eight months. they're trying to hide behind the allegations that they are making against us for their failure to provide to their passengers the high standards of in-flight products. the high standards of cabin products, the high standards of in-flight service and attention that we provide to the well-deserved american public that fly on qatar airways. matt: you are buying a lot of new plans come operating a lot of services. you have a lot of room on those planes. they are not all full. you making a decent return on your investments? what is it? >> absolutely we are making very decent returns on our investments. not as much as the american carriers. we are buying new airplanes to fuel our expansion, yes. a 100% loadays have factor. the load factors we have with an efficient operating cost, yes, we are doing well. matt: we have the airshow in europe next week. y",high_standards,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
494,5833,KLAS_20161001_010000_8_News_Now_at_6_PM,"8 News Now at 6 PM : KLAS : September 30, 2016 6:00pm-6:30pm PDT",https://archive.org/download/KLAS_20161001_010000_8_News_Now_at_6_PM/KLAS_20161001_010000_8_News_Now_at_6_PM.mp4?t=1297/1357?ignore=x.mp4," player holds himself to a high standard, and they've got a chip on their shoulder and that's something that's going to carry us people got us under-rated, and that we're not going to to so well, we'll just come like we're going to show up going to get down and i feel like it's going to help us this season."" christian jones/unlv center; ""wish i had more years, because this team is going to be a good team here on down the road, but for this first year we've still got something to prove though."" ((chris maathuis)) alright it's time for some football... the prepsters are in action tonight. a whole bunch of games on the schedule. we head out live to our fans choice game of the week -- shadow ridge visiting arbor view. that's where jon tritsch is big question can the mustangs stay unbeaten? big challenge ahead facing arbor view. it is not just game day at arbor view.. it is homecoming..and the sea of red has come out in full force..you already have the best home crowd in the valley..now aggie nation is off the rails.. joined by coach dan barnson showdown plus the best from gorman..liberty.. ",high_standards,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
495,6094,CNNW_20150423_170000_Wolf,"Wolf : CNNW : April 23, 2015 10:00am-11:01am PDT",https://archive.org/download/CNNW_20150423_170000_Wolf/CNNW_20150423_170000_Wolf.mp4?t=768/828?ignore=x.mp4," capabilities to protect the american people while also living up to the very high standards and values that are that the president expects. and, so that is what that is what the goal of those protocols and those reforms that the president laid out in the speech. what's also clear and what i would also readily admit to you is that in the aftermath of a situation like this it raises legitimate questions about whether additional changes need to be made to those protocols. again, to put it more bluntly, we have national security professionals who diligently follow those protocols based on everything we know so far. they follow those protocols and yet it still resulted in this unintended but very tragic consequence. that's why the president has directed his team to conduct a review of this particular operation. to see if there are lessons learned and reforms we can implement to this process. what i can also let you know is that there is an ongoing inspector general review of this matter. so, that there will have an opportunity for someone to take an independent look at this particular operation and ",high_standards,yes,yes,neither,neither,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
